,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precipprob,precipcover,preciptype,windgust,windspeed,winddir,cloudcover,visibility,solarradiation,solarenergy,uvindex,moonphase,daytime,pressure,daily_score
0,24.2,8.6,16.5,24.2,7.4,16.3,-3.0,30.0,0,0.0,0,42.8,15.4,133.6,82.5,14.7,181.0,15.4,8,0.0,12.661388888888888,1012.1,65.02713845026084
1,22.4,14.3,18.6,22.4,14.3,18.6,-9.3,14.5,0,0.0,0,70.6,23.4,226.9,57.7,16.1,264.0,22.7,9,0.04,12.705,1005.4,50.334595267841244
2,18.2,10.2,13.9,18.2,10.2,13.9,-3.9,29.8,0,0.0,0,83.5,34.2,230.7,55.4,13.1,241.6,21.0,9,0.07,12.748055555555556,1008.1,44.27094812080696
3,15.6,4.3,11.0,15.6,4.3,10.9,-3.0,38.7,0,0.0,0,41.8,16.5,233.4,39.1,14.4,254.5,21.9,8,0.1,12.791666666666666,1015.8,46.25657288126341
4,19.3,10.0,14.2,19.3,10.0,14.2,-0.3,38.2,0,0.0,0,33.1,12.9,310.7,76.0,15.5,168.1,14.5,6,0.13,12.835,1009.4,66.3869055793231
5,18.6,5.5,12.9,18.6,4.7,12.9,-0.3,43.0,0,0.0,0,25.6,10.8,231.4,29.9,17.5,283.7,24.5,9,0.16,12.878055555555555,1008.8,56.571523312214445
6,18.4,5.3,12.5,18.4,4.0,12.1,2.7,54.7,100,4.17,1,76.3,14.7,169.3,58.3,13.1,179.3,15.5,7,0.2,12.921111111111111,1007.7,43.00440592503136
7,14.3,9.1,12.0,14.3,7.5,11.9,5.3,64.1,100,8.33,1,55.4,18.4,245.0,64.1,14.1,205.3,17.8,8,0.23,12.963888888888889,1004.2,53.056119082468946
8,21.3,4.0,12.8,21.3,4.0,12.8,2.4,54.6,0,0.0,0,30.2,11.9,163.6,38.3,17.2,296.0,25.5,9,0.25,13.006666666666666,1011.7,65.68288679959399
9,21.9,10.8,16.2,21.9,10.8,16.2,3.3,44.5,0,0.0,0,36.4,13.4,196.6,50.2,17.2,262.4,22.7,9,0.29,13.049444444444445,1006.2,70.46511744747268
10,15.9,5.8,12.0,15.9,3.1,11.4,1.2,48.6,100,4.17,1,45.0,20.9,247.6,65.6,13.1,177.2,15.4,7,0.33,13.091666666666667,1002.4,42.26609098082073
11,7.5,2.9,5.1,4.8,-0.7,1.9,-5.6,46.7,0,0.0,3,48.2,32.1,312.3,80.0,13.5,205.7,17.8,6,0.36,13.134166666666667,1014.7,40.77264460290938
12,7.8,-2.3,3.8,6.0,-4.6,2.5,-8.0,43.7,0,0.0,3,32.8,12.8,304.2,47.2,17.2,275.1,23.9,9,0.39,13.176111111111112,1019.3,32.03143336588652
13,13.9,0.0,7.0,13.9,0.0,6.8,-4.0,46.6,0,0.0,0,23.4,11.4,254.1,48.1,17.3,291.5,25.1,9,0.42,13.218333333333334,1020.4,46.82388070699589
14,17.5,3.3,11.3,17.5,3.3,11.3,-0.2,47.6,0,0.0,0,27.7,13.2,31.4,32.1,13.8,296.8,25.6,9,0.45,13.260277777777778,1018.3,55.18717094922131
